Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Date_last_updated_IST,Remaining,lat,lon
Massachusetts,US,04/27/2020 14:50,54938,2899,8118,2020-04-27 14:50:00,43921,42.3788774,-72.03236600000002
Illinois,US,04/27/2020 14:50,43903,1933,606,2020-04-27 14:50:00,41364,40.079660600000004,-89.4337288
California,US,04/27/2020 14:50,43700,1720,3337,2020-04-27 14:50:00,38643,36.7014631,-118.75599740000001
Pennsylvania,US,04/27/2020 14:50,42708,1823,692,2020-04-27 14:50:00,40193,40.9699889,-77.72788309999999
Michigan,US,04/27/2020 14:50,37778,3315,8342,2020-04-27 14:50:00,26121,43.6211955,-84.6824346
Florida,US,04/27/2020 14:50,31528,1074,686,2020-04-27 14:50:00,29768,27.7567667,-81.4639835
Louisiana,US,04/27/2020 14:50,26773,1729,14927,2020-04-27 14:50:00,10117,30.8703881,-92.007126
Connecticut,US,04/27/2020 14:50,25269,1924,65,2020-04-27 14:50:00,23280,41.6500201,-72.7342163
Texas,US,04/27/2020 14:50,24981,654,9986,2020-04-27 14:50:00,14341,31.8160381,-99.51209859999999
Georgia,US,04/27/2020 14:50,23481,916,31,2020-04-27 14:50:00,22534,32.329380900000004,-83.1137366
Maryland,US,04/27/2020 14:50,18581,910,1177,2020-04-27 14:50:00,16494,39.5162234,-76.9382069
Ohio,US,04/27/2020 14:50,15963,728,120,2020-04-27 14:50:00,15115,40.225356899999994,-82.6881395
Indiana,US,04/27/2020 14:50,15012,813,14,2020-04-27 14:50:00,14185,40.327012700000004,-86.1746933
Washington,US,04/27/2020 14:50,13521,749,1807,2020-04-27 14:50:00,10965,38.89489320000001,-77.0365529
Colorado,US,04/27/2020 14:50,13441,680,559,2020-04-27 14:50:00,12202,38.7251776,-105.60771670000001
Virginia,US,04/27/2020 14:50,12970,448,1815,2020-04-27 14:50:00,10707,37.1232245,-78.4927721
Tennessee,US,04/27/2020 14:50,9667,181,4527,2020-04-27 14:50:00,4959,35.7730076,-86.28200809999998
North Carolina,US,04/27/2020 14:50,8994,325,1302,2020-04-27 14:50:00,7367,35.6729639,-79.03929190000002
Rhode Island,US,04/27/2020 14:50,7439,226,342,2020-04-27 14:50:00,6871,41.7962409,-71.59923719999998
Missouri,US,04/27/2020 14:50,7029,283,547,2020-04-27 14:50:00,6199,38.7604815,-92.5617875
Arizona,US,04/27/2020 14:50,6526,275,70,2020-04-27 14:50:00,6181,34.395342,-111.76327549999999
Alabama,US,04/27/2020 14:50,6421,219,20,2020-04-27 14:50:00,6182,33.258881699999996,-86.8295337
Wisconsin,US,04/27/2020 14:50,5911,272,2313,2020-04-27 14:50:00,3326,44.4308975,-89.6884637
Mississippi,US,04/27/2020 14:50,5911,227,0,2020-04-27 14:50:00,5684,32.9715645,-89.7348497
South Carolina,US,04/27/2020 14:50,5490,174,3701,2020-04-27 14:50:00,1615,33.687438799999995,-80.4363743
Iowa,US,04/27/2020 14:50,5476,118,1604,2020-04-27 14:50:00,3754,41.9216734,-93.3122705
Nevada,US,04/27/2020 14:50,4602,206,1841,2020-04-27 14:50:00,2555,39.515882500000004,-116.85372269999999
Utah,US,04/27/2020 14:50,4123,41,888,2020-04-27 14:50:00,3194,39.4225192,-111.71435840000001
